,,0
GRASIM.NS,HINDALCO.NS,0.0007967321664794389
EICHERMOT.NS,MARUTI.NS,0.0008293760934969805
BAJFINANCE.NS,KOTAKBANK.NS,0.0025413930859274477
EICHERMOT.NS,M&M.NS,0.002601966439742805
ADANIPORTS.NS,ULTRACEMCO.NS,0.0027380625695232162
HDFCBANK.NS,KOTAKBANK.NS,0.0037297257087060415
ADANIPORTS.NS,HINDALCO.NS,0.004104198951324698
GRASIM.NS,TATASTEEL.NS,0.005098773367741498
HINDALCO.NS,JSWSTEEL.NS,0.00526214503706344
AXISBANK.NS,SBIN.NS,0.005314928727122052
HINDALCO.NS,TATASTEEL.NS,0.0054487474482716215
JSWSTEEL.NS,TATASTEEL.NS,0.005479366091685766
HDFCBANK.NS,ICICIBANK.NS,0.00560438863645111
APOLLOHOSP.NS,HCLTECH.NS,0.007466995544157473
AXISBANK.NS,LT.NS,0.007500569505418279
ADANIPORTS.NS,GRASIM.NS,0.007784859307537087
GRASIM.NS,JSWSTEEL.NS,0.009326278751244909
CIPLA.NS,HCLTECH.NS,0.010480186128127051
BAJAJ-AUTO.NS,BPCL.NS,0.010568414605599668
BAJAJFINSV.NS,KOTAKBANK.NS,0.010804729708021654
HDFCLIFE.NS,KOTAKBANK.NS,0.01082492533057154
HINDUNILVR.NS,TATACONSUM.NS,0.011183444049318854
BAJFINANCE.NS,HCLTECH.NS,0.012883932687436801
TECHM.NS,ULTRACEMCO.NS,0.013552662560657042
HINDUNILVR.NS,KOTAKBANK.NS,0.013917614218731254
KOTAKBANK.NS,WIPRO.NS,0.014000895301712403
HDFCLIFE.NS,TATACONSUM.NS,0.014137064427618388
APOLLOHOSP.NS,TECHM.NS,0.014219685941264324
MARUTI.NS,SUNPHARMA.NS,0.014729237645652253
HDFCBANK.NS,ULTRACEMCO.NS,0.01481029965325882
BAJAJFINSV.NS,TECHM.NS,0.014937977624874524
HCLTECH.NS,ULTRACEMCO.NS,0.015402815904007576
HDFCBANK.NS,TECHM.NS,0.016034435642106167
BRITANNIA.NS,SUNPHARMA.NS,0.016176394336447537
DRREDDY.NS,RELIANCE.NS,0.016786962724916227
RELIANCE.NS,TATACONSUM.NS,0.01729471677314219
BAJAJHLDNG.NS,POWERGRID.NS,0.017310802967151442
BHARTIARTL.NS,SBILIFE.NS,0.01823910506631498
BAJAJFINSV.NS,HCLTECH.NS,0.018356659926045366
ADANIPORTS.NS,JSWSTEEL.NS,0.019631185134929202
HINDALCO.NS,TECHM.NS,0.019631905490842084
BAJAJFINSV.NS,HDFCBANK.NS,0.019753159774325638
SUNPHARMA.NS,ULTRACEMCO.NS,0.02027286875441018
HINDUNILVR.NS,RELIANCE.NS,0.02138812492642896
DRREDDY.NS,NESTLEIND.NS,0.021470595374249037
KOTAKBANK.NS,ULTRACEMCO.NS,0.022397812668019323
BEL.NS,BAJAJHLDNG.NS,0.022927563143975666
BAJFINANCE.NS,DRREDDY.NS,0.023924383705408905
NESTLEIND.NS,RELIANCE.NS,0.02440663209105571
BEL.NS,SUNPHARMA.NS,0.025325728591318774
BAJFINANCE.NS,HDFCBANK.NS,0.025475933015759136
JSWSTEEL.NS,SBIN.NS,0.02587324407089775
POWERGRID.NS,SUNPHARMA.NS,0.025889968783874635
KOTAKBANK.NS,TATACONSUM.NS,0.0263072976997916
BEL.NS,POWERGRID.NS,0.026408296332279764
BAJFINANCE.NS,INFY.NS,0.02758974226848128
BAJFINANCE.NS,CIPLA.NS,0.029770563043462192
KOTAKBANK.NS,UPL.NS,0.03040780238468797
KOTAKBANK.NS,TATASTEEL.NS,0.030576015308592174
BAJAJHLDNG.NS,SBIN.NS,0.03210089443778799
BRITANNIA.NS,POWERGRID.NS,0.032425372425638296
HINDUNILVR.NS,TCS.NS,0.03279748432730231
APOLLOHOSP.NS,BAJAJFINSV.NS,0.033260230828996026
HCLTECH.NS,HDFCBANK.NS,0.03348935041943041
AXISBANK.NS,NTPC.NS,0.033591234306581404
APOLLOHOSP.NS,BAJFINANCE.NS,0.03363544831431277
AXISBANK.NS,ONGC.NS,0.034733294119439005
KOTAKBANK.NS,TECHM.NS,0.03475709704991523
ICICIBANK.NS,TITAN.NS,0.034796357093007844
KOTAKBANK.NS,RELIANCE.NS,0.03565713144372513
AXISBANK.NS,BAJAJHLDNG.NS,0.03580179532045215
HINDUNILVR.NS,INFY.NS,0.03641275181672433
M&M.NS,MARUTI.NS,0.03711237133756047
BAJFINANCE.NS,TECHM.NS,0.03769443409100878
AXISBANK.NS,POWERGRID.NS,0.038734172232641216
BAJAJ-AUTO.NS,POWERGRID.NS,0.03910810249760896
APOLLOHOSP.NS,ULTRACEMCO.NS,0.03912472093182488
BRITANNIA.NS,EICHERMOT.NS,0.03984687178175586
ADANIPORTS.NS,HCLTECH.NS,0.04046084696386951
APOLLOHOSP.NS,TITAN.NS,0.04062649731945057
ADANIPORTS.NS,TATASTEEL.NS,0.04066245913686661
BAJAJFINSV.NS,CIPLA.NS,0.04174588660991734
HINDALCO.NS,SBIN.NS,0.04276801890177176
ADANIPORTS.NS,TECHM.NS,0.043077562269098923
APOLLOHOSP.NS,TATACONSUM.NS,0.04352426593947741
GRASIM.NS,SUNPHARMA.NS,0.04396211091058207
BHARTIARTL.NS,BRITANNIA.NS,0.04437803785685985
HDFCBANK.NS,SBILIFE.NS,0.045080034814527166
GRASIM.NS,TECHM.NS,0.04623393704931336
CIPLA.NS,ULTRACEMCO.NS,0.046291901897714496
LT.NS,NTPC.NS,0.04639998919425862
BAJFINANCE.NS,TATACONSUM.NS,0.04745122517081836
ADANIPORTS.NS,SBIN.NS,0.04804601668894409
BRITANNIA.NS,CIPLA.NS,0.04809895171585524
MARUTI.NS,NTPC.NS,0.04862953361529011
BRITANNIA.NS,ULTRACEMCO.NS,0.04882803400886003
APOLLOHOSP.NS,HDFCBANK.NS,0.049086555655540286
