pair,profit
"('APOLLOHOSP.NS', 'ULTRACEMCO.NS')",3693.9013671875
"('EICHERMOT.NS', 'MARUTI.NS')",1715.4052734375
"('BRITANNIA.NS', 'LT.NS')",1348.9912109375
"('BRITANNIA.NS', 'SUNPHARMA.NS')",1201.27490234375
"('M&M.NS', 'MARUTI.NS')",1141.308563232422
"('SUNPHARMA.NS', 'ULTRACEMCO.NS')",1109.2176513671875
"('BPCL.NS', 'HEROMOTOCO.NS')",1002.4938659667968
"('ADANIPORTS.NS', 'CIPLA.NS')",933.881866455078
"('BAJAJ-AUTO.NS', 'POWERGRID.NS')",908.733367919922
"('ADANIPORTS.NS', 'ULTRACEMCO.NS')",907.0999755859376
"('APOLLOHOSP.NS', 'TITAN.NS')",880.006103515625
"('LT.NS', 'SUNPHARMA.NS')",855.1363525390625
"('HCLTECH.NS', 'ULTRACEMCO.NS')",840.46533203125
"('BRITANNIA.NS', 'ICICIBANK.NS')",773.1295166015625
"('HINDUNILVR.NS', 'INFY.NS')",769.3064575195317
"('ADANIPORTS.NS', 'BAJAJ-AUTO.NS')",754.5439453125
"('ADANIPORTS.NS', 'SUNPHARMA.NS')",716.5267028808594
"('GRASIM.NS', 'TECHM.NS')",714.8355712890625
"('BAJAJ-AUTO.NS', 'NTPC.NS')",678.6336975097656
"('BAJAJ-AUTO.NS', 'BPCL.NS')",663.8035583496094
"('TECHM.NS', 'ULTRACEMCO.NS')",663.7744140625
"('GRASIM.NS', 'SUNPHARMA.NS')",661.0232849121094
"('BAJAJ-AUTO.NS', 'ONGC.NS')",648.5228576660156
"('GRASIM.NS', 'ULTRACEMCO.NS')",641.2001953125
"('HDFCBANK.NS', 'ULTRACEMCO.NS')",601.5
"('CIPLA.NS', 'ULTRACEMCO.NS')",575.800048828125
"('HINDUNILVR.NS', 'RELIANCE.NS')",547.3601379394531
"('GRASIM.NS', 'HCLTECH.NS')",544.1954345703125
"('KOTAKBANK.NS', 'ULTRACEMCO.NS')",531.699951171875
"('AXISBANK.NS', 'BRITANNIA.NS')",524.0626220703125
"('HCLTECH.NS', 'ICICIBANK.NS')",517.4219360351564
"('MARUTI.NS', 'NTPC.NS')",502.2484130859375
"('HDFCBANK.NS', 'TECHM.NS')",499.3511962890629
"('CIPLA.NS', 'TATACONSUM.NS')",485.77166748046847
"('ADANIPORTS.NS', 'SBILIFE.NS')",481.809326171875
"('BRITANNIA.NS', 'POWERGRID.NS')",444.5160217285156
"('ADANIPORTS.NS', 'HINDALCO.NS')",431.6564025878906
"('DRREDDY.NS', 'TATACONSUM.NS')",423.4862060546875
"('ADANIPORTS.NS', 'TATASTEEL.NS')",407.1902465820313
"('AXISBANK.NS', 'ULTRACEMCO.NS')",392.699951171875
"('BAJAJFINSV.NS', 'TECHM.NS')",390.2775268554688
"('HINDALCO.NS', 'SBILIFE.NS')",385.5015411376953
"('RELIANCE.NS', 'TATACONSUM.NS')",380.8075103759769
"('AXISBANK.NS', 'POWERGRID.NS')",365.43037033081066
